ADMRECON-H30,0000014
ADMRECON1,0000024
ADMRECON20MOA30,0000000
ADMRECON30,0000181
ADMRECON30TACR,0000000
ADMRECONS30,0000000
ADMRECONSL34,0000018
ADMRECONX30,0000000
ADMROCOSTD,0000014
ADMROCOTACR,0000020
ADMROLSTD,0000043
ADMROLTACR,0000000
ADMROSOCOMSTD,0000000
ADMROSOCOMTACR,0000021
ADMSCOUTS1,0000008
ADMSCOUTS30,0000024
ADMT1SOCOM,0000006
ADVA2102220,0000007
ADVA2301300,0000000
ADVA5101050,0000000
ADVA5102240,0000027
ADVA5102476,0000010
ADVA5102518,0000000
ADVB1101135,0000000
ADVB1101141,0000000
ADVB1102000,0000000
ADVB1401141,0000001
ADVB2101210,0000000
ADVB2101216,0000000
ADVB2101232,0000000
ADVB2101250,0000000
ADVB2102200,0000001
ADVB2201232,0000019
ADVB2201250,0000000
ADVFPG0100,0000017
ADVHRN4100,0000005
ADVMOI0300,0000002
ADVMOI0600,0000000
ADVRUG3000,0000005
ADVSBS4300,0000010
ADVSFP0300,0000007
ADVSFS0400,0000007
ADVSKS0300,0000000
ADVSMC1100,0000005
ADVSPG0100,0000028
ADVSRG0200,0000000
ADVTFS0600,0000000
ADVTSG0300,0000003
AFSDLOC-MRO,0000023
AGA1B222110,0000000
AGA1B222269,0000000
AGA1B222298,0000000
AGA1B222320,0000000
AGA1B222328,0000000
AGA1B222337,0000000
AGA1B222514,0000000
AGA1B222518,0000000
AGA1E092110,0000000
AGA1E097704,0000000
AGA1E223110,0004439
AGA1E252110,0000000
AGA1E322110,0000609
AGA1E382521,0000691
AGA1E402110,0001287
AGA1E452110,0001340
AGA1E454319,0000468
AGA1E556110,0003069
AGA1E572823,0000392
AGA1E762110,0000937
AGA1E802110,0000299
AGCOLT,0000291
AGGL17-19,0000151
AGGL17-22,0000143
AGGL19-23,0000503
AGGL29-30,0000174
AGMK9,0000000
AGPM9,0000036
AGSWMP,0000106
AGXD45SUB,0000019
AGXDSUB,0000092
AIPR-01,0000017
AISAA1401,0000000
AISAK-140US,0000008
AISAKBSL,0000020
AISAKBSW,0000007
AISAM7K-01,0000006
AISAM7R-61,0000008
AISAM7R-61C,0000000
AISAM7R-66,0000017
AISAM7SF-84,0000054
AISAM7SF-84C,0000002
AISAM7UF-85,0000017
AISAM7UF-85C,0000005
AISGL31-68,0000008
AISKR-006US,0000000
AISLR104-31,0000024
AISLR104-51,0000004
AISLR106-21,0000008
AISLR107-31,0000000
AISLR107-32,0000000
AISLR107-33,0000012
AISLR107-34,0000000
AISLR107-36,0000020
AISM-13,0000218
AISSG-922,0000000
ALG05-281B,0000030
ALG05-281S,0000007
ALG05-287B,0000010
ALG05-292B,0000006
ALG05-293B,0000000
ALG05-326,0000538
ALG05-327,0000000
ALGACT,0000000
ALGAFM-BLK,0000040
ALGAFM-SAND,0000010
ALGFSS,0000006
ALGQMS,0000000
ALGSCB,0000037
ALN1062,0000002
ALN1063,0000015
ALN1064,0000188
ALN1065,0000125
ALN1066,0000105
ALN1070,0000000
ALN1078,0000000
ALN1079,0000001
ALN1080,0000068
ALN10801,0000006
ALN10804,0000000
ALN10806,0000002
ALN10807,0000002
ALN10820,0000000
ALN10902,0000000
ALN10904,0000006
ALN10913,0000000
ALN10923,0000006
ALN10925,0000000
ALN10927,0000012
ALN10928,0000000
ALN10929,0000006
ALN123,0000039
ALN13130,0000000
ALN13160,0000079
ALN13242,0000102
ALN13247,0000064
ALN133,0000046
ALN14420,0000040
ALN14430,0000014
ALN14510,0000098
ALN14512,0000021
ALN15202,0000113
ALN15222,0000000
ALN15226,0000012
ALN15228,0000024
ALN1529,0000002
ALN167,0000000
ALN168,0000000
ALN169,0000000
ALN18520,0000000
ALN18615,0000008
ALN187,0000006
ALN1893,0000019
ALN1895,0000000
ALN1896,0000000
ALN1898,0000004
ALN2188,0000018
ALN2192,0000000
ALN220,0000000
ALN2230,0000000
ALN22753,0000000
ALN22772,0000000
ALN2287,0000000
ALN2288,0000000
ALN2320,0000000
ALN2321,0000000
ALN268-52,0000001
ALN269-46,0000076
ALN27540,0000008
ALN323-32,0000000
ALN327-32,0000009
ALN356-52,0000000
ALN357-43,0000020
ALN357-46,0000000
ALN375-40,0000000
ALN4411,0000050
ALN4413,0000060
ALN448,0000024
ALN5295,0000002
ALN5297,0000010
ALN587-48,0000000
ALN689-48,0000009
ALN691-46,0000010
ALN70562,0000037
ALN70565,0000016
ALN7211,0000045
ALN7213,0000029
ALN726,0000000
ALN728,0000009
ALN7411,0000002
ALN7413,0000030
ALN746,0000000
ALN748,0000046
ALN76-10,0000000
ALN76-12,0000001
ALN76-50,0000012
ALN76-65,0000006
